"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"leoncho","Varian","True","85.3 %                                 Kills100.0 %                                 Teamwork (Takedowns)95.8 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege36.3 %                                 XP79.4 %","23","10","13","1","00:01:02","54,891","47,310","12,282","12,226","48,652","9,846"
"Ramb0ner","Nazeebo","True","73.8 %                                 Kills50.0 %                                 Teamwork (Takedowns)91.7 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)64.8 %                                 Siege67.3 %                                 XP94.3 %","22","5","17","3","00:02:08","59,242","87,686","7,897","7,825","23,867","11,694"
"Siliton","Stitches","True","69.3 %                                 Kills40.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths87.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)72.3 %                                 Siege30.5 %                                 XP85.3 %","24","4","20","2","00:01:28","38,458","39,773","15,806","15,770","45,130","10,569"
"LegionOfChao","Illidan","False","62.8 %                                 Kills60.0 %                                 Teamwork (Takedowns)50.0 %                                 Deaths62.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)54.5 %                                 Siege58.9 %                                 XP91.1 %","12","6","6","4","00:02:40","31,530","76,744"," ","20,150","72,664","11,298"
"Litania","Sylvanas","True","60.9 %                                 Kills50.0 %                                 Teamwork (Takedowns)75.0 %                                 Deaths62.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)44.5 %                                 Siege47.1 %                                 XP86.1 %","18","5","13","4","00:02:32","50,123","61,461"," ","0","27,488","10,674"
"LastSacred","Artanis","False","60.5 %                                 Kills30.0 %                                 Teamwork (Takedowns)50.0 %                                 Deaths62.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)54.0 %                                 Siege66.5 %                                 XP100.0 %","12","3","9","4","00:02:58","32,614","86,697"," ","18,541","72,010","12,396"
"jckstl","Jaina","False","60.2 %                                 Kills20.0 %                                 Teamwork (Takedowns)50.0 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)50.8 %                                 Siege100.0 %                                 XP90.6 %","12","2","10","5","00:03:38","49,152","130,356"," ","8,250","38,025","11,235"
"Spartan","Ana","True","51.5 %                                 Kills20.0 %                                 Teamwork (Takedowns)83.3 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)54.4 %                                 Siege11.6 %                                 XP64.4 %","20","2","18","3","00:02:31","18,039","15,172","36,323","7,073","24,702","7,982"
"Dedalo","Lúcio","False","49.7 %                                 Kills10.0 %                                 Teamwork (Takedowns)50.0 %                                 Deaths62.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)91.5 %                                 Siege17.5 %                                 XP66.7 %","12","1","11","4","00:03:03","12,371","22,752","91,397","1,950","45,939","8,272"
"DioBrando","Diablo","False","19.1 %                                 Kills10.0 %                                 Teamwork (Takedowns)25.0 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)29.3 %                                 Siege14.5 %                                 XP36.0 %","6","1","5","9","00:04:10","15,244","18,937","4,255","10,163","70,847","4,460"